title,genre,director,actor,synopsis,img
싱크홀,코미디,김지훈,"차승원, 김성균, 이광수, 권소현, 김혜준","사.상.초.유! 도심 속 초대형 재난 발생!

서울 입성과 함께 내 집 마련의 꿈을 이룬 가장 ‘동원(김성균)’
이사 첫날부터 프로 참견러 ‘만수’(차승원)와 사사건건 부딪힌다.

‘동원’은 자가취득을 기념하며 직장 동료들을 집들이에 초대하지만
행복한 단꿈도 잠시, 순식간에 빌라 전체가 땅 속으로 떨어지고 만다.

마주치기만 하면 투닥거리는 빌라 주민 ‘만수’와 ‘동원’
‘동원’의 집들이에 왔던 ‘김대리’(이광수)와 인턴사원 ‘은주’(김혜준)까지!
지하 500m 싱크홀 속으로 떨어진 이들은 과연 무사히 빠져나갈 수 있을까?

“한 500m 정도는 떨어진 것 같아”
“우리… 나갈 수 있을까요?”",./static/image_resized/1.jpg
블랙머니,"범죄, 드라마",정지영,"조진웅, 이하늬","고발은 의무! 수사는 직진!
할말은 하고 깔 건 깐다!

일명 서울지검 ‘막프로’! 검찰 내에서 거침없이 막 나가는 문제적 검사로
이름을 날리는 ‘양민혁’은 자신이 조사를 담당한 피의자가 자살하는 사건으로 인해
하루 아침에 벼랑 끝에 내몰린다. 억울한 누명을 벗기 위해 내막을 파헤치던 그는
피의자가 대한은행 헐값 매각사건의 중요 증인이었음을 알게 된다.

근거는 의문의 팩스 5장! 자산가치 70조 은행이 1조 7천억원에 넘어간
희대의 사건 앞에서 ‘양민혁’ 검사는 금융감독원, 대형 로펌, 해외펀드 회사가 뒤얽힌
거대한 금융 비리의 실체와 마주하게 되는데…

대한민국 최대의 금융스캔들, 사건은 아직 끝나지 않았다!",./static/image_resized/2.jpg
검객,액션,최재훈,"장혁, 김현수, 조 타슬림","광해군 폐위 후, 스스로 자취를 감춘 조선 최고의 검객 ‘태율’(장혁).
한편, 조선을 사이에 둔 청과 명의 대립으로 혼란은 극에 달하고,
청나라 황족 ‘구루타이’(조 타슬림)는 무리한 요구를 해대며 조선을 핍박한다.

백성들의 고통이 날로 더해가던 중, ‘구루타이’의 수하들에 의해 태율의 딸이 공녀로 잡혀가고 만다. 세상을 등진 채 조용히 살고자 했던 조선 최고의 검객 ‘태율’은 딸을 구하기 위한 자비 없는 검을 휘두르기 시작하는데...",./static/image_resized/3.jpg
인질,"액션, 스릴러",필감성,"황정민, 김재범, 이유미, 류경수, 정재원, 이규원, 이호정","배우 황정민 '인질'로 잡혔다!

평소와 똑같던 어느 새벽,
서울 한복판에서 증거도, 목격자도 없이 대한민국 톱배우 '황정민'이 납치된다.

한 치 앞을 알 수 없는 상황 속
살기 위한 극한의 탈주가 시작되는데…

올여름, 관객들을 사로잡을 리얼리티 액션스릴러가 온다!",./static/image_resized/4.jpg
미스터 보스,"드라마, 액션",김형기,"공찬, 홍은기, 이승현, 최동구, 양정두, 안종욱, 오민준","<바람> 제작진이 선사하는
生날 청춘 코믹 액션!

무대책 ★★★★★
당당함 ★★★★★
필터링 ☆

광상고로 전학 오게 된 ‘현준’은
똘끼로 무장한 ‘진원’, ‘병연’,
그리고 짱 ‘영수’를 만나 4총사를 결성한다.

그리고 두려울 것 없는 4총사의 행보가 이어지자
심기가 불편한 이들이 하나둘 모습을 드러내는데…

맞서라! 대책 없고 무식한 청춘들의
오합지졸 토너먼트가 시작된다!",./static/image_resized/5.jpg
용루각2: 신들의 밤,"액션, 미스터리, 스릴러",최상훈,"지일주, 정화, 장의수, 정의욱, 서지후, 이필모","“사람 하나 찾아야겠다… 벌써부터 악취가 슬슬 풍기는구만! “
과거 용루각 멤버였던 영찬(서지후)은 기자가 되어 현직 의원의 비리를 파헤치고 있다. 어느 날 영찬은 용루각의 브레인 승진(장의수)에게 사건과 연계된 메모리카드를 찾아와 달라고 부탁하고, 용루각에는 갑작스럽게 사라진 여고생 영은을 찾아 달라는 의뢰가 들어온다. 여고생의 실종사건을 조사하던 철민(지일주)과 지혜(박정화)는 영찬이 파헤치던 사건과 함께 신흥종교 ‘일월교’가 얽혀있음을 알게 되는데…!
사라진 6명의 소녀들.. 실체가 드러날 위기에 처한 용루각! 정의를 위한 한방이 또 다시 시작된다!",./static/image_resized/6.jpg
달콤한 인생,액션,김지운,"이병헌, 김영철, 신민아","돌이킬 수 없다면, 끝까지 폼나게 간다! | 말해봐요, 정말 날 죽이려고 했어요? | 의리 없는 전쟁이 시작된다
{어느 맑은 봄날, 바람에 이리저리 휘날리는 나뭇가지를 바라보며, 제자가 물었다. “스승님, 저것은 나뭇가지가 움직이는 겁니까, 바람이 움직이는 겁니까?” 스승은 제자가 가리키는 것은 보지도 않은 채, 웃으며 말했다. 무릇 움직이는 것은 나뭇가지도 아니고 바람도 아니며, 네 마음 뿐이다.}
서울 하늘 한 켠, 섬처럼 떠 있는 한 호텔의 스카이라운지. 그 곳은 냉철하고 명민한 완벽주의자 선우의 작은 성이다. '왜'라고 묻지 않는 과묵한 의리, 빈틈 없는 일 처리로 보스 강사장의 절대적 신뢰를 획득, 스카이라운지의 경영을 책임지기까지, 그는 꼬박 7년의 세월을 바쳤다.
룰을 어긴 자는 이유를 막론하고 처단하는 냉혹한 보스 강사장. 그런 그에게는 남들에게 말 못 할 비밀이 하나 있다. 젊은 애인 희수의 존재가 바로 그것. 그녀에게 딴 남자가 생긴 것 같다는 의혹을 가진 강사장은 선우에게 그녀를 감시, 사실이면 처리하라고 명령한다.
희수를 따라 다니기 시작한 지 3일째, 희수와 남자 친구가 함께 있는 현장을 급습하는 선우. 하지만, 마지막 순간, 그는 알 수 없는 망설임 끝에 그들을 놓아준다. 그것이 모두를 위한 최선의 선택이라 믿으며 말이다. 그러나 단 한 순간에 불과했던 이 선택으로 인해 선우는 어느 새 적이 되어 버린 조직 전체를 상대로, 돌이킬 수 없는 전쟁을 시작하게 되는데...
{어느 깊은 가을밤, 잠에서 깨어난 제자가 울고 있었다. 그 모습을 본 스승이 기이하게 여겨 제자에게 물었다. “무서운 꿈을 꾸었느냐?” “아닙니다.” “슬픈 꿈을 꾸었느냐?” “아닙니다. 달콤한 꿈을 꾸었습니다.” “그런데 왜 그리 슬피 우느냐?” 제자는 흐르는 눈물을 닦아내며 나지막히 말했다. “그 꿈은 이루어질 수 없기 때문입니다.”}",./static/image_resized/7.jpg
무사,"드라마, 액션",김성수,"장쯔이, 정우성, 주진모, 안성기, 한영목, 강대희","명나라에 사신으로 갔다 간첩으로 몰려 사막에 고립된 고려의 무사들. 뜨거운 사막을 지나 다다른 곳은 허름한 객잔. 그곳에서 원기병에게 납치당한 명나라의 공주 부용과 마주치게 된다. 부용만 구한다면 명나라에 명분도 세우고, 고려로 돌아갈 수도 있다. 사신단을 이끄는 용호군의 장수 최정은 독단적으로 부용을 구출할 것을 결정한다. 결국 부용은 구출하지만 고려무사들의 희생 또한 크다. 최정의 독단적인 행동과 힘든 여정에 고려무사들의 불만은 점점 쌓여만 간다. 게다가 이지헌부사가 고된 여정을 견디지 못하고 죽게 되자 악화된 이지헌의 호위무사 여솔과 최정의 갈등은 부용을 사이에 두고 더욱 깊어져만 간다. 고려로 가는 배를 주겠다는 부용의 제안으로 천신만고끝에 해안토성에 도착하지만 토성은 원기병의 공격으로 이미 폐허 상태이다. 부용을 뒤쫓는 원기병은 어느새 토성까지 이르렀다. 원기병은 부용을 내준다면 목숨만을 살려주겠다고 말한다. 이들은 이제 선택의 기로에 서 있다. 부용을 내줄 것인가, 목숨을 걸고 부용을 지킬 것인가. 과연 이들은 무사히 고려로 돌아갈 수 있을까?",./static/image_resized/8.jpg
디바,"스릴러, 미스터리",조슬예,"신민아, 이유영","두려움의 높이, 10미터 다이빙대의 끝에서
아름답게 낙하하다

전 세계가 주목하는 다이빙계의 디바 ‘이영’은
어느 날 동료이자 절친 ‘수진’과 함께 교통사고를 당한다.

사고 후 실종된 ‘수진’을 향한 ‘이영’의 애틋함과 달리
동료들은 ‘수진’에 대해 의문스러운 말들을 쏟아내고,
혼란스러운 와중에도 ‘이영’은 완벽한 실력을 되찾아야만 한다.

결국 최고를 지키고자 하는 강렬한 욕망과
오랜 시간 친구로 지내왔던 ‘수진’이 자기가 알던 모습이 아닐지도 모른다는 두려움은
‘이영’을 점점 광기로 몰아넣는데…

다이빙계의 디바
알 수 없는 깊이의 두려움 속으로 빠져들다",./static/image_resized/9.jpg
보이스,"범죄, 액션",김선,"변요한, 김무열, 김희원, 박명훈","단 한 통의 전화!
걸려오는 순간 걸려들었다!

부산 건설현장 직원들을 상대로 걸려온 전화 한 통.
보이스피싱 전화로 인해 딸의 병원비부터 아파트 중도금까지,
당일 현장에서는 수많은 사람들이 목숨 같은 돈을 잃게 된다.

현장작업반장인 전직형사 서준(변요한)은 가족과 동료들의 돈 30억을 되찾기 위해
보이스피싱 조직을 추적하기 시작한다.

마침내 중국에 위치한 본거지 콜센터 잠입에 성공한 서준,
개인정보확보, 기획실 대본입고, 인출책 섭외, 환전소 작업, 대규모 콜센터까지!
체계적으로 조직화된 보이스피싱의 스케일에 놀라고,
그곳에서 피해자들의 희망과 공포를 파고드는 목소리의 주인공이자 기획실 총책 곽프로(김무열)를 드디어 마주한다.

그리고 그가 300억 규모의 새로운 총력전을 기획하는 것을 알게 되는데..

상상이상으로 치밀하게 조직화된 보이스피싱의 실체!
끝까지 쫓아 반드시 되찾는다!",./static/image_resized/10.jpg
